Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1.0,2595.3,1151.4885,3.67,3.211,5460.001,6755.01,10777.82,1112
2.0,7408.64,1172.5125000000007,4.246,3.22,5508.991999999998,6762.02,10500.35,1111
3.0,7393.76,1112.991999999991,4.249,3.224,5508.993000000002,6762.02,10420.38,1110
4.0,7385.5,1080.3206666666665,4.25,3.225,5502.015999999996,6762.02,10322.81,1109
6.0,5343.34,1137.2778717948677,4.29,3.398,5480.992000000013,6369.700000000001,9019.999999999996,1107
7.0,3301.18,1194.2350769230688,3.674,3.504,5023.6336363636365,5977.38,5977.38,1106
8.0,5955.3,1220.1353285714576,4.013,3.501,5017.494999999995,5967.55,7989.999999999999,1105
9.0,5951.2,1220.1353285714576,4.014,3.501,5017.496000000014,5962.21,7989.999999999999,1104
10.0,5945.44,1216.920914285729,4.014,3.501,5009.993666666647,5954.91,7989.999999999999,1103
11.0,4587.01,1176.135123809523,4.267,3.086,5021.534679487158,5962.4,12140.0,1102
12.0,3228.58,1135.3493333333172,3.689,3.485,5033.07569230767,5969.89,8149.999999999999,1101
13.0,6019.9,1058.2797241378576,4.045,3.475,5053.842846153886,5980.77,8249.999999999998,1100
14.0,6026.59,1049.487844827585,4.047,3.477,5046.429500000086,5966.82,8230.0,1099
15.0,6008.07,1065.3720591132296,4.045,3.48,5033.075769230723,5954.47,8199.999999999998,1098
16.0,4134.705,974.2860295565915,4.27,3.108,3491.369884615415,4438.58,11919.999999999996,1097
17.0,2261.34,883.1999999999534,4.038,3.901,1949.6640000001064,2922.69,3990.0,1096
18.0,2259.46,883.1990000000224,4.042,3.373,5181.377000000095,6161.38,9310.98,1095
19.0,2256.61,878.3999999999069,4.042,3.374,5181.375,6154.37,9296.64,1094
20.0,2252.83,873.6010000000242,4.043,3.374,5174.334000000032,6147.33,9243.58,1093
21.0,2250.62,868.8009999999776,4.044,3.374,5160.289000000106,6140.29,9245.53,1092
22.0,2248.6,868.7969999997877,4.044,3.375,5160.320999999763,6133.34,9248.32,1091
23.0,2245.05,864.0,4.044,3.374,5153.413999999873,6126.4,9215.78,1090
24.0,2242.53,861.594000000041,4.044,3.376,5146.368000000017,6119.36,9190.62,1089
25.0,2239.56,859.1960000002291,4.044,3.377,5139.368000000017,6112.36,9179.43,1088
26.0,2237.35,856.7970000000205,4.044,3.377,5132.25,6105.27,9181.21,1087
27.0,2236.26,856.7959999998566,4.045,3.377,5125.343999999808,6098.34,9198.3,1086
28.0,2234.38,852.0,4.045,3.378,5118.368000000017,6091.36,9176.38,1085
29.0,2232.16,852.0,4.045,3.378,5111.328000000212,6084.33,9145.58,1084
30.0,2230.78,849.6089999999385,4.045,3.377,5111.2660000000615,6084.25,9137.28,1083
31.0,2229.16,849.594000000041,4.045,3.377,5104.3589999999385,6077.38,9131.56,1082
32.0,2227.64,847.1720000002533,4.045,3.378,5097.344000000041,6077.34,9142.98,1081
33.0,2226.38,847.2030000002123,4.045,3.377,5090.360000000102,6070.36,9149.66,1080
34.0,2223.88,844.7970000002533,4.045,3.378,5090.312000000151,6063.3,9133.25,1079
35.0,2222.62,840.0,4.045,3.379,5083.3589999999385,6056.36,9112.39,1078
36.0,2221.02,842.405999999959,4.046,3.378,5076.2660000000615,6049.28,9112.14,1077
37.0,2220.19,840.0,4.046,3.378,5076.344000000274,6049.38,9136.16,1076
38.0,2218.41,837.594000000041,4.046,3.393,5069.313000000082,6042.31,9101.06,1075
39.0,2216.89,835.2029999997467,4.046,3.379,5062.375,6035.36,9112.24,1074
40.0,2214.97,825.594000000041,4.025,3.604,5026.311999999685,5999.0,6959.999999999997,1073
41.0,2219.75,828.0,4.041,3.686,5020.311999999685,6000.31,6139.999999999999,1072
42.0,2222.5,835.1880000003148,4.045,3.382,5058.797000000253,6035.28,9125.16,1071
43.0,2220.53,832.8130000003148,4.045,3.379,5069.375,6049.38,9155.72,1070
44.0,2217.28,830.4070000003558,4.045,3.379,5062.375,6035.38,9115.94,1069
45.0,2214.66,828.0,4.045,3.381,5048.342999999644,6028.34,9122.81,1068
46.0,2211.25,828.0,4.044,3.381,5041.25,6021.25,9074.06,1067
47.0,2210.59,828.0,4.045,3.381,5034.375,6014.38,9118.03,1066
48.0,2208.56,825.594000000041,4.045,3.382,5030.7339999999385,6007.22,9098.56,1065
49.0,2206.88,823.219000000041,4.045,3.382,5027.280999999959,6000.25,9091.78,1064
50.0,2203.19,820.8119999996852,4.045,3.383,5020.375,5993.38,9083.59,1063
51.0,2202.53,820.7820000003558,4.045,3.384,5013.375,5986.38,9089.47,1062
52.0,2200.34,816.0,4.044,3.386,5006.344000000041,5979.34,9089.41,1061
53.0,2198.19,816.0,4.044,3.385,4999.219000000041,5972.22,9067.53,1060
54.0,2197.0,813.5929999996442,4.044,3.387,4992.25,5965.25,9074.62,1059
55.0,2195.94,813.5929999996442,4.044,3.387,4988.859500000253,5965.38,9079.66,1058
56.0,2194.12,811.2190000002738,4.044,3.387,4985.344000000041,5958.34,9049.97,1057
57.0,2192.56,813.594000000041,4.044,3.388,4978.280999999726,5958.28,9049.44,1056
58.0,2190.75,811.2179999996442,4.044,3.387,4978.313000000315,5951.31,9029.53,1055
59.0,2189.5,808.8130000003148,4.044,3.388,4971.375,5944.38,9049.91,1054
60.0,2188.19,806.4369999996852,4.044,3.389,4964.313000000315,5937.31,9059.31,1053
61.0,2186.25,806.4380000003148,4.043,3.391,4960.843499999959,5937.38,9027.75,1052
62.0,2185.56,806.375,4.043,3.39,4957.375,5930.38,9015.12,1051
63.0,2185.12,806.4380000003148,4.043,3.39,4957.375,5930.38,9051.06,1050
64.0,2179.06,789.5619999996852,4.022,3.625,4921.375,5894.0,6749.999999999998,1049
65.0,2180.81,791.3809999998193,4.271,3.166,5067.647499999963,6047.16,11339.999999999998,1048
66.0,2182.56,793.1999999999534,4.004,3.381,5213.9199999999255,6200.32,9459.46,1047
67.0,2182.62,798.0,4.007,3.395,4969.152000000002,5912.35,9114.85,1046
68.0,2180.13,797.6000000000931,4.007,3.394,4969.178400000092,5912.35,9093.92,1045
69.0,2177.34,795.0,4.008,3.394,4961.920000000158,5912.32,9058.18,1044
70.0,2175.17,795.0,4.007,3.395,4954.782999999821,5912.38,9064.41,1043
71.0,2173.44,793.0,4.008,3.398,4947.551000000443,5912.35,9080.74,1042
72.0,2170.56,789.6000000000931,4.008,3.397,4940.320000000298,5912.32,9060.73,1041
73.0,2168.26,789.6000000000931,4.008,3.399,4933.12099999981,5876.32,9048.26,1040
74.0,2165.54,788.0,4.008,3.399,4928.319999999832,5876.32,9027.49,1039
75.0,2163.77,786.0,4.008,3.401,4918.790999999736,5876.39,9027.52,1038
76.0,2162.18,783.6000000000931,4.008,3.401,4916.321000000462,5876.32,9008.32,1037
77.0,2160.17,786.0,4.008,3.401,4911.550999999978,5876.35,9000.64,1036
78.0,2158.66,784.0,4.008,3.401,4910.359000000171,5876.36,9023.48,1035
79.0,2155.94,780.0,4.007,3.402,4904.328000000212,5876.33,8968.09,1034
80.0,2154.69,782.3999999999069,4.008,3.402,4897.158999999519,5840.36,8974.28,1033
81.0,2152.42,782.3999999999069,4.008,3.403,4889.913000000175,5840.31,8965.95,1032
82.0,2151.42,782.3999999999069,4.008,3.405,4882.728000000119,5840.33,8962.08,1031
83.0,2149.92,778.3999999999069,4.008,3.403,4880.342999999877,5840.34,8958.81,1030
84.0,2148.48,778.3999999999069,4.008,3.404,4875.512999999803,5840.31,8930.36,1029
85.0,2147.39,776.3999999999069,4.008,3.404,4868.327999999747,5840.33,8962.02,1028
86.0,2145.83,777.0,4.008,3.405,4868.265999999829,5840.27,8942.92,1027
87.0,2144.58,775.0,4.008,3.404,4862.311999999918,5804.31,8963.16,1026
88.0,2142.5,772.7999999998137,4.008,3.405,4856.327999999747,5804.33,8947.59,1025
89.0,2147.06,763.2180000003427,4.018,3.653,4816.311999999918,5788.97,6469.999999999998,1024
90.0,2145.16,766.0,4.003,3.731,4808.344000000041,5768.34,5689.999999999999,1023
91.0,2147.28,774.0,4.006,3.41,4853.944000000134,5804.34,8977.31,1022
92.0,2145.28,772.7999999998137,4.007,3.406,4861.143999999855,5804.34,8974.09,1021
93.0,2143.12,774.0,4.008,3.407,4853.943000000436,5804.34,8977.41,1020
94.0,2140.53,770.0,4.008,3.407,4846.743999999482,5804.34,8960.47,1019
95.0,2138.88,770.0,4.008,3.407,4839.513000000268,5804.31,8950.19,1018
96.0,2137.31,768.0,4.007,3.407,4838.375,5804.38,8971.72,1017
97.0,2135.19,769.2000000001863,4.007,3.408,4832.375,5804.38,8927.5,1016
98.0,2133.34,769.0,4.007,3.408,4825.143999999855,5768.34,8944.38,1015
99.0,2130.69,765.6000000000931,4.007,3.408,4817.944000000134,5768.34,8896.53,1014
100.0,2128.56,768.0,4.007,3.409,4810.743999999948,5768.34,8901.75,1013
101.0,2126.97,762.0,4.006,3.41,4803.513000000268,5768.31,8899.03,1012
102.0,2125.78,762.0,4.006,3.411,4796.313000000082,5768.31,8913.22,1011
103.0,2124.41,764.3999999999069,4.006,3.411,4796.375,5768.38,8916.5,1010
104.0,2122.03,762.3999999999069,4.005,3.411,4789.150199999567,5732.34,8875.09,1009
105.0,2112.0,759.0,4.005,3.411,4781.943000000436,5732.34,8892.59,1008
106.0,2118.81,760.7999999998137,4.006,3.413,4774.743999999948,5732.34,8892.44,1007
107.0,2117.62,756.7999999998137,4.006,3.412,4767.513000000268,5732.31,8905.44,1006
108.0,2115.12,757.2000000001863,4.005,3.414,4766.375,5732.38,8854.25,1005
109.0,2114.31,755.2000000001863,4.006,3.414,4760.375,5732.38,8898.38,1004
110.0,2112.31,753.0,4.005,3.414,4753.174999999814,5696.38,8870.56,1003
111.0,2111.19,753.0,4.005,3.414,4748.375,5696.38,8860.06,1002
112.0,2100.94,748.7999999998137,3.991,3.415,4745.975000000093,5676.1900000000005,8766.5,1001
113.0,2109.81,739.186999999918,4.014,3.674,4690.25,5656.0,6259.999999999999,1000
115.0,2124.61,751.2000000001863,3.998,3.397,5066.256000000052,6056.26,9425.95,998
116.0,2124.16,752.0,3.999,3.415,4778.320999999996,5732.32,8951.84,997
117.0,2121.79,751.9980000001378,4.0,3.415,4781.824000000488,5732.22,8950.82,996
118.0,2119.97,749.6000000000931,4.001,3.417,4772.351999999955,5732.35,8959.65,995
119.0,2117.7,747.6000000000931,4.001,3.417,4767.552000000142,5732.35,8965.47,994
120.0,2114.24,747.6000000000931,4.001,3.419,4760.351999999955,5696.35,8932.74,993
121.0,2111.11,744.0,4.001,3.419,4753.151999999303,5696.35,8918.18,992
122.0,2107.84,744.0,4.001,3.421,4742.319999999832,5696.32,8919.01,991
123.0,2105.28,740.0,4.001,3.421,4731.520000000019,5696.32,8897.66,990
124.0,2102.91,738.0,4.001,3.422,4724.351999999955,5660.35,8913.22,989
125.0,2100.16,740.3999999999069,4.001,3.423,4717.121000000276,5660.32,8882.59,988
126.0,2098.37,738.3999999999069,4.001,3.424,4709.9199999999255,5660.32,8886.08,987
127.0,2095.59,734.3999999999069,4.001,3.425,4702.74300000025,5660.34,8857.02,986
128.0,2093.19,735.0,4.001,3.424,4695.589999999851,5660.39,8846.05,985
129.0,2091.2,736.7999999998137,4.001,3.425,4688.328000000212,5624.33,8845.25,984
130.0,2089.0,732.7999999998137,4.001,3.426,4681.049999999814,5624.25,8839.94,983
131.0,2086.91,732.0,4.001,3.427,4673.95900000073,5624.36,8834.91,982
132.0,2084.55,731.2000000001863,4.001,3.426,4666.712999999989,5624.31,8807.3,981
133.0,2083.19,731.2000000001863,4.001,3.427,4659.512000000104,5624.31,8812.31,980
134.0,2081.8,727.2000000001863,4.001,3.428,4652.312000000384,5588.31,8816.34,979
135.0,2079.97,727.2000000001863,4.001,3.427,4652.281000000425,5588.28,8807.45,978
136.0,2078.72,727.2000000001863,4.001,3.428,4645.191000000108,5588.39,8820.2,977
137.0,2076.91,729.6000000000931,4.001,3.427,4640.359000000637,5588.36,8797.52,976
138.0,2078.66,717.5930000003427,4.01,3.68,4592.375,5558.0,6199.999999999996,975
139.0,2077.22,717.6000000000931,3.996,3.76,4574.344000000507,5516.34,5400.0,974
140.0,2080.69,725.6000000000931,3.999,3.433,4634.343999999575,5588.34,8807.22,973
141.0,2079.28,725.6000000000931,4.0,3.429,4645.143999999389,5588.34,8828.72,972
142.0,2076.56,723.6000000000931,4.0,3.429,4637.913000000175,5588.31,8812.88,971
143.0,2074.47,726.0,4.0,3.429,4630.74300000025,5588.34,8809.44,970
144.0,2071.62,720.0,4.0,3.431,4623.606000000611,5588.41,8778.0,969
145.0,2070.34,722.4062000000849,3.999,3.43,4616.311999999918,5552.31,8808.19,968
146.0,2069.03,722.3999999999069,4.0,3.43,4609.14400000032,5552.34,8804.88,967
147.0,2067.62,722.3938000001945,4.0,3.431,4604.313000000082,5552.31,8805.75,966
148.0,2065.16,720.7999999998137,3.999,3.43,4601.913000000175,5552.31,8784.09,965
149.0,2063.19,716.7814000002109,3.999,3.431,4592.311999999918,5552.31,8806.03,964
150.0,2060.94,715.2000000001863,3.999,3.432,4586.344000000507,5552.34,8776.62,963
151.0,2058.47,716.9922500001267,3.999,3.433,4574.311999999918,5516.31,8743.38,962
152.0,2056.81,713.6000000000931,3.998,3.433,4573.143999999389,5516.34,8739.5,961
153.0,2056.25,713.6000000000931,3.999,3.433,4565.913000000175,5516.31,8781.31,960
154.0,2054.41,713.6000000000931,3.998,3.434,4562.375,5516.38,8763.88,959
155.0,2052.81,711.6000000000931,3.998,3.434,4558.74300000025,5516.34,8734.62,958
156.0,2051.94,711.6000000000931,3.998,3.435,4551.512000000104,5516.31,8772.62,957
157.0,2050.28,712.0,3.998,3.435,4550.406000000425,5516.41,8748.69,956
158.0,2049.09,708.0,3.998,3.435,4544.25,5480.25,8772.62,955
159.0,2047.5,708.0,3.998,3.435,4544.375,5480.38,8766.19,954
